ENSEMBL_GENE_ID	Name	Species
ENSMUSG00000028637	coiled-coil domain containing 30(Ccdc30)	Mus musculus
ENSMUSG00000030541	isocitrate dehydrogenase 2 (NADP+), mitochondrial(Idh2)	Mus musculus
ENSMUSG00000074825	inositol 1,4,5-triphosphate receptor interacting protein-like 1(Itpripl1)	Mus musculus
ENSMUSG00000031133	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6(Arhgef6)	Mus musculus
ENSMUSG00000022421	neuronal pentraxin receptor(Nptxr)	Mus musculus
ENSMUSG00000070469	ADAMTS-like 3(Adamtsl3)	Mus musculus
ENSMUSG00000050973	GDP-D-glucose phosphorylase 1(Gdpgp1)	Mus musculus
ENSMUSG00000045467	tubulin tyrosine ligase-like family, member 13(Ttll13)	Mus musculus
ENSMUSG00000038930	RCC1 domain containing 1(Rccd1)	Mus musculus
ENSMUSG00000063550	nucleoporin 98(Nup98)	Mus musculus
ENSMUSG00000051557	pseudouridylate synthase-like 1(Pusl1)	Mus musculus
ENSMUSG00000058498	ring finger protein 207(Rnf207)	Mus musculus
ENSMUSG00000047757	Fanconi anemia, complementation group B(Fancb)	Mus musculus
ENSMUSG00000016356	collagen, type XX, alpha 1(Col20a1)	Mus musculus
ENSMUSG00000027088	phosphatase, orphan 2(Phospho2)	Mus musculus
ENSMUSG00000018589	glycine receptor, alpha 2 subunit(Glra2)	Mus musculus
ENSMUSG00000054604	CGG triplet repeat binding protein 1(Cggbp1)	Mus musculus
ENSMUSG00000035107	discoidin, CUB and LCCL domain containing 2(Dcbld2)	Mus musculus
ENSMUSG00000040586	OFD1, centriole and centriolar satellite protein(Ofd1)	Mus musculus
ENSMUSG00000040621	gem nuclear organelle associated protein 8(Gemin8)	Mus musculus
ENSMUSG00000095595	family with sequence similarity 177, member A(Fam177a)	Mus musculus
ENSMUSG00000043964	ORAI calcium release-activated calcium modulator 3(Orai3)	Mus musculus
ENSMUSG00000002996	high mobility group box transcription factor 1(Hbp1)	Mus musculus
ENSMUSG00000046182	GSG1-like(Gsg1l)	Mus musculus
ENSMUSG00000019796	low density lipoprotein receptor-related protein 11(Lrp11)	Mus musculus
ENSMUSG00000079157	NALCN channel auxiliary factor 1(Nalf1)	Mus musculus
ENSMUSG00000061759	acidic residue methyltransferase 1(Armt1)	Mus musculus
ENSMUSG00000031971	centriole, cilia and spindle associated protein(Ccsap)	Mus musculus
ENSMUSG00000001569	nucleolar protein with MIF4G domain 1(Nom1)	Mus musculus
ENSMUSG00000042320	prospero homeobox 2(Prox2)	Mus musculus
ENSMUSG00000037363	leucine zipper-EF-hand containing transmembrane protein 2(Letm2)	Mus musculus
ENSMUSG00000022498	thioredoxin domain containing 11(Txndc11)	Mus musculus
ENSMUSG00000037965	zinc finger CCCH type containing 7 A(Zc3h7a)	Mus musculus
ENSMUSG00000025092	heat shock protein 12A(Hspa12a)	Mus musculus
ENSMUSG00000096914	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 6(Galntl6)	Mus musculus
ENSMUSG00000031166	WD repeat domain 13(Wdr13)	Mus musculus
ENSMUSG00000019261	microtubule-associated protein 1S(Map1s)	Mus musculus
ENSMUSG00000019731	solute carrier family 35, member E1(Slc35e1)	Mus musculus
ENSMUSG00000029153	OCIA domain containing 2(Ociad2)	Mus musculus
ENSMUSG00000003809	glutaryl-Coenzyme A dehydrogenase(Gcdh)	Mus musculus
ENSMUSG00000038323	RIKEN cDNA 1700066M21 gene(1700066M21Rik)	Mus musculus
ENSMUSG00000035696	ring finger protein 38(Rnf38)	Mus musculus
ENSMUSG00000033192	lysophosphatidylcholine acyltransferase 2(Lpcat2)	Mus musculus
ENSMUSG00000024384	IWS1, SUPT6 interacting protein(Iws1)	Mus musculus
ENSMUSG00000070639	leucine rich repeat containing 8 family, member B(Lrrc8b)	Mus musculus
ENSMUSG00000033009	2-oxoglutarate and iron-dependent oxygenase domain containing 1(Ogfod1)	Mus musculus
ENSMUSG00000029263	phosphatidylinositol glycan anchor biosynthesis, class G(Pigg)	Mus musculus
ENSMUSG00000041930	family with sequence similarity 222, member A(Fam222a)	Mus musculus
ENSMUSG00000047022	mirror-image polydactyly 1(Mipol1)	Mus musculus
ENSMUSG00000078908	MON1 homolog B, secretory traffciking associated(Mon1b)	Mus musculus
ENSMUSG00000070576	meningioma 1(Mn1)	Mus musculus
ENSMUSG00000046844	vesicle amine transport protein 1 like(Vat1l)	Mus musculus
ENSMUSG00000039089	L3MBTL3 histone methyl-lysine binding protein(L3mbtl3)	Mus musculus
ENSMUSG00000060212	pecanex homolog 2(Pcnx2)	Mus musculus
ENSMUSG00000051495	interferon regulatory factor 2 binding protein 2(Irf2bp2)	Mus musculus
ENSMUSG00000071359	TATA box binding protein-like 1(Tbpl1)	Mus musculus
ENSMUSG00000000740	ribosomal protein L13(Rpl13)	Mus musculus
ENSMUSG00000031925	mastermind like transcriptional coactivator 2(Maml2)	Mus musculus
ENSMUSG00000025857	dynein, axonemal assembly factor 5(Dnaaf5)	Mus musculus
ENSMUSG00000037990	SH3 domain containing ring finger 3(Sh3rf3)	Mus musculus
ENSMUSG00000074505	FAT atypical cadherin 3(Fat3)	Mus musculus
ENSMUSG00000020090	neuropeptide FF receptor 1(Npffr1)	Mus musculus
ENSMUSG00000059901	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 14(Adamts14)	Mus musculus
ENSMUSG00000022682	RRN3 RNA polymerase I transcription factor homolog (yeast)(Rrn3)	Mus musculus
ENSMUSG00000032109	NLR family member X1(Nlrx1)	Mus musculus
ENSMUSG00000118506	cilia and flagella associated protein 141(Cfap141)	Mus musculus
ENSMUSG00000051652	leucine rich repeat containing 3(Lrrc3)	Mus musculus
ENSMUSG00000015357	caseinolytic mitochondrial matrix peptidase chaperone subunit(Clpx)	Mus musculus
ENSMUSG00000055069	RAB39, member RAS oncogene family(Rab39)	Mus musculus
ENSMUSG00000041986	ELMO/CED-12 domain containing 1(Elmod1)	Mus musculus
ENSMUSG00000045912	C2 calcium-dependent domain containing 4C(C2cd4c)	Mus musculus
ENSMUSG00000039585	myosin IXa(Myo9a)	Mus musculus
ENSMUSG00000022807	oxysterol binding protein-like 11(Osbpl11)	Mus musculus
ENSMUSG00000051067	leucine rich repeat and Ig domain containing 3(Lingo3)	Mus musculus
ENSMUSG00000048696	mex3 RNA binding family member D(Mex3d)	Mus musculus
ENSMUSG00000057716	transmembrane protein 178B(Tmem178b)	Mus musculus
ENSMUSG00000091243	vestigial like family member 3(Vgll3)	Mus musculus
ENSMUSG00000050312	NOL1/NOP2/Sun domain family member 3(Nsun3)	Mus musculus
ENSMUSG00000022881	replication factor C (activator 1) 4(Rfc4)	Mus musculus
ENSMUSG00000032537	Eph receptor B1(Ephb1)	Mus musculus
ENSMUSG00000035620	RIC8 guanine nucleotide exchange factor B(Ric8b)	Mus musculus
ENSMUSG00000071037	calmodulin-lysine N-methyltransferase(Camkmt)	Mus musculus
ENSMUSG00000025648	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4(Pfkfb4)	Mus musculus
ENSMUSG00000032549	RAB6B, member RAS oncogene family(Rab6b)	Mus musculus
ENSMUSG00000054792	kelch-like 18(Klhl18)	Mus musculus
ENSMUSG00000044320	RIKEN cDNA 1700001O22 gene(1700001O22Rik)	Mus musculus
ENSMUSG00000074802	growth arrest-specific 2 like 3(Gas2l3)	Mus musculus
ENSMUSG00000022773	yippee like 1(Ypel1)	Mus musculus
ENSMUSG00000013419	zinc finger protein 651(Zfp651)	Mus musculus
ENSMUSG00000020015	cyclin-dependent kinase 17(Cdk17)	Mus musculus
ENSMUSG00000022519	sarcalumenin(Srl)	Mus musculus
ENSMUSG00000036168	coiled-coil domain containing 38(Ccdc38)	Mus musculus
ENSMUSG00000097487	prostaglandin E synthase 3 like(Ptges3l)	Mus musculus
ENSMUSG00000027015	cytochrome b reductase 1(Cybrd1)	Mus musculus
ENSMUSG00000079419	membrane-spanning 4-domains, subfamily A, member 6C(Ms4a6c)	Mus musculus
ENSMUSG00000030741	spinster homolog 1(Spns1)	Mus musculus
ENSMUSG00000036676	transmembrane and tetratricopeptide repeat containing 3(Tmtc3)	Mus musculus
ENSMUSG00000071398	RIKEN cDNA 2410004P03 gene(2410004P03Rik)	Mus musculus
ENSMUSG00000025872	THO complex 3(Thoc3)	Mus musculus
ENSMUSG00000044921	Ras association (RalGDS/AF-6) domain family (N-terminal) member 9(Rassf9)	Mus musculus
ENSMUSG00000034848	tetratricopeptide repeat domain 21B(Ttc21b)	Mus musculus
ENSMUSG00000025995	WD repeat domain 75(Wdr75)	Mus musculus
ENSMUSG00000019792	tRNA methyltransferase 11(Trmt11)	Mus musculus
ENSMUSG00000028807	zinc finger and BTB domain containing 8a(Zbtb8a)	Mus musculus
ENSMUSG00000047767	autophagy related 16-like 2 (S. cerevisiae)(Atg16l2)	Mus musculus
ENSMUSG00000041117	coiled-coil domain containing 8(Ccdc8)	Mus musculus
ENSMUSG00000070802	PNMA family member 8B(Pnma8b)	Mus musculus
ENSMUSG00000057506	biogenesis of lysosomal organelles complex-1, subunit 2(Bloc1s2)	Mus musculus
ENSMUSG00000056888	GLI pathogenesis-related 1 (glioma)(Glipr1)	Mus musculus
ENSMUSG00000024082	NADH:ubiquinone oxidoreductase complex assembly factor 7(Ndufaf7)	Mus musculus
ENSMUSG00000032058	protein phosphatase 2, regulatory subunit A, beta(Ppp2r1b)	Mus musculus
ENSMUSG00000020189	oxysterol binding protein-like 8(Osbpl8)	Mus musculus
ENSMUSG00000055523	guanylate cyclase 2g(Gucy2g)	Mus musculus
ENSMUSG00000070705	EP300 interacting inhibitor of differentiation 2B(Eid2b)	Mus musculus
ENSMUSG00000031813	multivesicular body subunit 12A(Mvb12a)	Mus musculus
ENSMUSG00000045136	tubulin, beta 2B class IIB(Tubb2b)	Mus musculus
ENSMUSG00000043639	RNA binding motif protein 20(Rbm20)	Mus musculus
ENSMUSG00000060962	dermokine(Dmkn)	Mus musculus
ENSMUSG00000050663	TRH-degrading enzyme(Trhde)	Mus musculus
ENSMUSG00000073468	SFT2 domain containing 1(Sft2d1)	Mus musculus
ENSMUSG00000024846	cystatin E/M(Cst6)	Mus musculus
ENSMUSG00000028843	SH3 domain binding glutamic acid-rich protein-like 3(Sh3bgrl3)	Mus musculus
ENSMUSG00000033429	methylmalonyl CoA epimerase(Mcee)	Mus musculus
ENSMUSG00000099689	zinc finger protein 383(Zfp383)	Mus musculus
ENSMUSG00000037126	pleckstrin and Sec7 domain containing(Psd)	Mus musculus
ENSMUSG00000039195	bublin coiled coil protein(Bbln)	Mus musculus
ENSMUSG00000024006	serine/threonine kinase 38(Stk38)	Mus musculus
ENSMUSG00000021243	FCF1 rRNA processing protein(Fcf1)	Mus musculus
ENSMUSG00000022428	chibby family member 1, beta catenin antagonist(Cby1)	Mus musculus
ENSMUSG00000031371	HAUS augmin-like complex, subunit 7(Haus7)	Mus musculus
ENSMUSG00000034786	G-protein signalling modulator 3 (AGS3-like, C. elegans)(Gpsm3)	Mus musculus
ENSMUSG00000032295	mannosidase, alpha, class 2C, member 1(Man2c1)	Mus musculus
ENSMUSG00000074071	family with sequence similarity 169, member B(Fam169b)	Mus musculus
ENSMUSG00000039137	whirlin(Whrn)	Mus musculus
ENSMUSG00000045795	WAS protein homolog associated with actin, golgi membranes and microtubules(Whamm)	Mus musculus
ENSMUSG00000024247	protein kinase domain containing, cytoplasmic(Pkdcc)	Mus musculus
ENSMUSG00000037214	THAP domain containing, apoptosis associated protein 1(Thap1)	Mus musculus
ENSMUSG00000031708	trans-2,3-enoyl-CoA reductase(Tecr)	Mus musculus
ENSMUSG00000090958	leucine rich repeat containing 32(Lrrc32)	Mus musculus
ENSMUSG00000040287	SH3 and cysteine rich domain 3(Stac3)	Mus musculus
ENSMUSG00000014498	ankyrin repeat domain 52(Ankrd52)	Mus musculus
ENSMUSG00000034579	phospholipase A2, group III(Pla2g3)	Mus musculus
ENSMUSG00000073856	IQ motif containing K(Iqck)	Mus musculus
ENSMUSG00000042828	tripartite motif-containing 72(Trim72)	Mus musculus
ENSMUSG00000047428	delta like non-canonical Notch ligand 2(Dlk2)	Mus musculus
ENSMUSG00000028636	phosphopantothenoylcysteine synthetase(Ppcs)	Mus musculus
ENSMUSG00000020447	NPC1 like intracellular cholesterol transporter 1(Npc1l1)	Mus musculus
ENSMUSG00000056515	RAB31, member RAS oncogene family(Rab31)	Mus musculus
ENSMUSG00000024187	family with sequence similarity 234, member A(Fam234a)	Mus musculus
ENSMUSG00000046201	SR-related CTD-associated factor 8(Scaf8)	Mus musculus
ENSMUSG00000059791	nurim (nuclear envelope membrane protein)(Nrm)	Mus musculus
ENSMUSG00000034647	ankyrin repeat domain 12(Ankrd12)	Mus musculus
ENSMUSG00000034854	major facilitator superfamily domain containing 12(Mfsd12)	Mus musculus
ENSMUSG00000034709	protein phosphatase 1, regulatory subunit 21(Ppp1r21)	Mus musculus
ENSMUSG00000098234	small nucleolar RNA host gene 6(Snhg6)	Mus musculus
ENSMUSG00000047090	transmembrane protein 198b(Tmem198b)	Mus musculus
ENSMUSG00000041815	polymerase (DNA-directed), delta interacting protein 3(Poldip3)	Mus musculus
ENSMUSG00000021222	DDB1 and CUL4 associated factor 4(Dcaf4)	Mus musculus
ENSMUSG00000053565	eukaryotic translation initiation factor 3, subunit K(Eif3k)	Mus musculus
ENSMUSG00000030590	family with sequence similarity 98, member C(Fam98c)	Mus musculus
ENSMUSG00000021114	ATPase, H+ transporting, lysosomal V1 subunit D(Atp6v1d)	Mus musculus
ENSMUSG00000037089	solute carrier family 35, member B2(Slc35b2)	Mus musculus
ENSMUSG00000041343	ankyrin repeat domain 42(Ankrd42)	Mus musculus
ENSMUSG00000044835	ankyrin repeat domain 45(Ankrd45)	Mus musculus
ENSMUSG00000027459	family with sequence similarity 110, member A(Fam110a)	Mus musculus
ENSMUSG00000073434	WD repeat domain 90(Wdr90)	Mus musculus
ENSMUSG00000025766	DNA segment, Chr 3, ERATO Doi 751, expressed(D3Ertd751e)	Mus musculus
ENSMUSG00000019487	thyroid hormone receptor interactor 10(Trip10)	Mus musculus
ENSMUSG00000024169	intraflagellar transport 140(Ift140)	Mus musculus
ENSMUSG00000044072	echinoderm microtubule associated protein like 6(Eml6)	Mus musculus
ENSMUSG00000054723	vimentin-type intermediate filament associated coiled-coil protein(Vmac)	Mus musculus
ENSMUSG00000049811	family with sequence similarity 161, member A(Fam161a)	Mus musculus
ENSMUSG00000043999	G protein-coupled receptor 75(Gpr75)	Mus musculus
ENSMUSG00000073424	cytochrome P450, family 4, subfamily f, polypeptide 15(Cyp4f15)	Mus musculus
ENSMUSG00000027520	zinc finger, DBF-type containing 2(Zdbf2)	Mus musculus
ENSMUSG00000051062	fibrillarin-like 1(Fbll1)	Mus musculus
ENSMUSG00000074151	NLR family, CARD domain containing 5(Nlrc5)	Mus musculus
ENSMUSG00000049526	transmembrane protein 202(Tmem202)	Mus musculus
ENSMUSG00000039031	Rho GTPase activating protein 18(Arhgap18)	Mus musculus
ENSMUSG00000020227	interleukin-1 receptor-associated kinase 3(Irak3)	Mus musculus
ENSMUSG00000063564	collagen, type XXIII, alpha 1(Col23a1)	Mus musculus
ENSMUSG00000048728	zinc finger protein 454(Zfp454)	Mus musculus
ENSMUSG00000032965	intraflagellar transport 57(Ift57)	Mus musculus
ENSMUSG00000030922	LYR motif containing 1(Lyrm1)	Mus musculus
ENSMUSG00000044352	sosondowah ankyrin repeat domain family member A(Sowaha)	Mus musculus
ENSMUSG00000054519	zinc finger protein 867(Zfp867)	Mus musculus
ENSMUSG00000045519	zinc finger protein 560(Zfp560)	Mus musculus
ENSMUSG00000041199	RNA pseudouridylate synthase domain containing 1(Rpusd1)	Mus musculus
ENSMUSG00000049323	Smith-Magenis syndrome chromosome region, candidate 8 homolog (human)(Smcr8)	Mus musculus
ENSMUSG00000004894	hyaluronan and proteoglycan link protein 2(Hapln2)	Mus musculus
ENSMUSG00000018599	mitochondrial elongation factor 2(Mief2)	Mus musculus
ENSMUSG00000034334	family with sequence similarity 151, member B(Fam151b)	Mus musculus
ENSMUSG00000036990	OTU domain containing 4(Otud4)	Mus musculus
ENSMUSG00000042293	predicted gene 5617(Gm5617)	Mus musculus
ENSMUSG00000056752	dynein, axonemal, heavy chain 9(Dnah9)	Mus musculus
ENSMUSG00000020899	phosphoribosylformylglycinamidine synthase (FGAR amidotransferase)(Pfas)	Mus musculus
ENSMUSG00000047220	interactor of HORMAD1 1(Iho1)	Mus musculus
ENSMUSG00000032607	aminomethyltransferase(Amt)	Mus musculus
ENSMUSG00000020805	solute carrier family 13 (sodium-dependent citrate transporter), member 5(Slc13a5)	Mus musculus
ENSMUSG00000040828	cation channel sperm associated auxiliary subunit delta(Catsperd)	Mus musculus
ENSMUSG00000047123	toll-like receptor adaptor molecule 1(Ticam1)	Mus musculus
ENSMUSG00000021066	atlastin GTPase 1(Atl1)	Mus musculus
ENSMUSG00000015599	tau tubulin kinase 1(Ttbk1)	Mus musculus
ENSMUSG00000038781	signal transducing adaptor family member 2(Stap2)	Mus musculus
ENSMUSG00000029804	hect domain and RLD 3(Herc3)	Mus musculus
ENSMUSG00000024347	pleckstrin and Sec7 domain containing 2(Psd2)	Mus musculus
ENSMUSG00000045287	reticulon 4 receptor-like 1(Rtn4rl1)	Mus musculus
ENSMUSG00000056856	janus kinase and microtubule interacting protein 3(Jakmip3)	Mus musculus
ENSMUSG00000020042	BTB (POZ) domain containing 11(Btbd11)	Mus musculus
ENSMUSG00000022789	dynamin 1-like(Dnm1l)	Mus musculus
ENSMUSG00000020604	arylsulfatase G(Arsg)	Mus musculus
ENSMUSG00000023912	solute carrier family 25, member 27(Slc25a27)	Mus musculus
ENSMUSG00000025978	raftlin family member 2(Rftn2)	Mus musculus
ENSMUSG00000036894	RAP2B, member of RAS oncogene family(Rap2b)	Mus musculus
ENSMUSG00000070000	FCH domain only 1(Fcho1)	Mus musculus
ENSMUSG00000037958	nuclear speckle regulatory protein 1(Nsrp1)	Mus musculus
ENSMUSG00000026873	PHD finger protein 19(Phf19)	Mus musculus
ENSMUSG00000034292	TRAF3 interacting protein 1(Traf3ip1)	Mus musculus
ENSMUSG00000026024	alsin Rho guanine nucleotide exchange factor(Als2)	Mus musculus
ENSMUSG00000032564	copine IV(Cpne4)	Mus musculus
ENSMUSG00000037926	slingshot protein phosphatase 2(Ssh2)	Mus musculus
ENSMUSG00000031314	TATA-box binding protein associated factor 1(Taf1)	Mus musculus
ENSMUSG00000022536	glyoxylate reductase 1 homolog (Arabidopsis)(Glyr1)	Mus musculus
ENSMUSG00000032558	nephronophthisis 3 (adolescent)(Nphp3)	Mus musculus
ENSMUSG00000050410	transcription factor 19(Tcf19)	Mus musculus
ENSMUSG00000035051	DEAH (Asp-Glu-Ala-Asp/His) box polypeptide 57(Dhx57)	Mus musculus
ENSMUSG00000052915	male specific lethal 1(Msl1)	Mus musculus
ENSMUSG00000050132	sterile alpha and HEAT/Armadillo motif containing 1(Sarm1)	Mus musculus
ENSMUSG00000001768	Ras and Rab interactor 2(Rin2)	Mus musculus
ENSMUSG00000034308	short chain dehydrogenase/reductase family 42E, member 1(Sdr42e1)	Mus musculus
ENSMUSG00000070031	Sp140 nuclear body protein(Sp140)	Mus musculus
ENSMUSG00000028948	nucleolar protein 9(Nol9)	Mus musculus
ENSMUSG00000017550	ATPase family, AAA domain containing 5(Atad5)	Mus musculus
ENSMUSG00000058099	Nfat activating molecule with ITAM motif 1(Nfam1)	Mus musculus
ENSMUSG00000067825	peroxisomal biogenesis factor 26(Pex26)	Mus musculus
ENSMUSG00000069793	schlafen 9(Slfn9)	Mus musculus
ENSMUSG00000033222	transcription termination factor, RNA polymerase II(Ttf2)	Mus musculus
ENSMUSG00000020686	growth arrest-specific 2 like 2(Gas2l2)	Mus musculus
ENSMUSG00000020101	V-set immunoregulatory receptor(Vsir)	Mus musculus
ENSMUSG00000015653	six transmembrane epithelial antigen of prostate 2(Steap2)	Mus musculus
ENSMUSG00000040771	O-acyl-ADP-ribose deacylase 1(Oard1)	Mus musculus
ENSMUSG00000034813	glutamate receptor interacting protein 1(Grip1)	Mus musculus
ENSMUSG00000032514	tetratricopeptide repeat domain 21A(Ttc21a)	Mus musculus
ENSMUSG00000024998	phospholipase C, epsilon 1(Plce1)	Mus musculus
ENSMUSG00000000804	ubiquitin specific peptidase 32(Usp32)	Mus musculus
ENSMUSG00000046873	membrane-bound transcription factor peptidase, site 2(Mbtps2)	Mus musculus
ENSMUSG00000031303	mitogen-activated protein kinase kinase kinase 15(Map3k15)	Mus musculus
ENSMUSG00000054966	lamin tail domain containing 1(Lmntd1)	Mus musculus
ENSMUSG00000046562	unc-119 lipid binding chaperone B(Unc119b)	Mus musculus
ENSMUSG00000040675	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like(Mthfd1l)	Mus musculus
ENSMUSG00000033671	centrosomal protein 350(Cep350)	Mus musculus
ENSMUSG00000032456	nicotinamide nucleotide adenylyltransferase 3(Nmnat3)	Mus musculus
ENSMUSG00000039096	radical S-adenosyl methionine domain containing 1(Rsad1)	Mus musculus
ENSMUSG00000042684	N-acetylneuraminate pyruvate lyase(Npl)	Mus musculus
ENSMUSG00000050860	phosphatase, orphan 1(Phospho1)	Mus musculus
ENSMUSG00000032278	progestin and adipoQ receptor family member V(Paqr5)	Mus musculus
ENSMUSG00000002475	abhydrolase domain containing 3(Abhd3)	Mus musculus
ENSMUSG00000012296	tight junction associated protein 1(Tjap1)	Mus musculus
ENSMUSG00000029715	processing of precursor 7, ribonuclease P family, (S. cerevisiae)(Pop7)	Mus musculus
ENSMUSG00000064267	hydrogen voltage-gated channel 1(Hvcn1)	Mus musculus
ENSMUSG00000034621	G patch domain containing 8(Gpatch8)	Mus musculus
ENSMUSG00000062210	tumor necrosis factor, alpha-induced protein 8(Tnfaip8)	Mus musculus
ENSMUSG00000032503	cyclic AMP-regulated phosphoprotein, 21(Arpp21)	Mus musculus
ENSMUSG00000053702	nebulette(Nebl)	Mus musculus
ENSMUSG00000078651	amine oxidase, copper containing 2 (retina-specific)(Aoc2)	Mus musculus
ENSMUSG00000022664	solute carrier family 35, member A5(Slc35a5)	Mus musculus
ENSMUSG00000030872	golgi associated, gamma adaptin ear containing, ARF binding protein 2(Gga2)	Mus musculus
ENSMUSG00000026198	ATP-binding cassette, sub-family B (MDR/TAP), member 6(Abcb6)	Mus musculus
ENSMUSG00000026571	DDB1 and CUL4 associated factor 6(Dcaf6)	Mus musculus
ENSMUSG00000033032	actin filament associated protein 1-like 1(Afap1l1)	Mus musculus
ENSMUSG00000022685	poly(A)-specific ribonuclease (deadenylation nuclease)(Parn)	Mus musculus
ENSMUSG00000029594	RNA binding motif protein 19(Rbm19)	Mus musculus
ENSMUSG00000038059	small integral membrane protein 3(Smim3)	Mus musculus
ENSMUSG00000025616	ubiquitin specific peptidase 16(Usp16)	Mus musculus
ENSMUSG00000003623	carnitine O-octanoyltransferase(Crot)	Mus musculus
ENSMUSG00000026341	ARP3 actin-related protein 3(Actr3)	Mus musculus
ENSMUSG00000022529	zinc finger protein 263(Zfp263)	Mus musculus
ENSMUSG00000023991	forkhead box P4(Foxp4)	Mus musculus
ENSMUSG00000030095	transmembrane protein 43(Tmem43)	Mus musculus
ENSMUSG00000032468	armadillo repeat containing 8(Armc8)	Mus musculus
ENSMUSG00000037185	keratin 80(Krt80)	Mus musculus
ENSMUSG00000024622	HMG box domain containing 3(Hmgxb3)	Mus musculus
ENSMUSG00000024807	synovial apoptosis inhibitor 1, synoviolin(Syvn1)	Mus musculus
ENSMUSG00000031101	SAM and SH3 domain containing 3(Sash3)	Mus musculus
ENSMUSG00000020495	SMG8 nonsense mediated mRNA decay factor(Smg8)	Mus musculus
ENSMUSG00000029634	ring finger protein (C3H2C3 type) 6(Rnf6)	Mus musculus
ENSMUSG00000040703	cytochrome P450, family 2, subfamily s, polypeptide 1(Cyp2s1)	Mus musculus
ENSMUSG00000041592	sidekick cell adhesion molecule 2(Sdk2)	Mus musculus
ENSMUSG00000009772	NUAK family, SNF1-like kinase, 2(Nuak2)	Mus musculus
ENSMUSG00000020823	SEC14-like lipid binding 1(Sec14l1)	Mus musculus
ENSMUSG00000002320	transmembrane 9 superfamily member 1(Tm9sf1)	Mus musculus
ENSMUSG00000038084	OPA1, mitochondrial dynamin like GTPase(Opa1)	Mus musculus
ENSMUSG00000041168	lon peptidase 1, mitochondrial(Lonp1)	Mus musculus
ENSMUSG00000050201	otopetrin 2(Otop2)	Mus musculus
ENSMUSG00000039109	coagulation factor XIII, A1 subunit(F13a1)	Mus musculus
ENSMUSG00000032125	roundabout guidance receptor 4(Robo4)	Mus musculus
ENSMUSG00000022853	enoyl-Coenzyme A, hydratase/3-hydroxyacyl Coenzyme A dehydrogenase(Ehhadh)	Mus musculus
ENSMUSG00000020741	clustered mitochondria (cluA/CLU1) homolog(Cluh)	Mus musculus
ENSMUSG00000050910	cerebellar degeneration-related protein 2-like(Cdr2l)	Mus musculus
ENSMUSG00000026342	solute carrier family 35, member F5(Slc35f5)	Mus musculus
ENSMUSG00000032596	ubiquitin-like modifier activating enzyme 7(Uba7)	Mus musculus
ENSMUSG00000028967	ERBB receptor feedback inhibitor 1(Errfi1)	Mus musculus
ENSMUSG00000015127	unkempt family like zinc finger(Unkl)	Mus musculus
ENSMUSG00000024019	cap methyltransferase 1(Cmtr1)	Mus musculus
ENSMUSG00000026781	acyl-Coenzyme A binding domain containing 5(Acbd5)	Mus musculus
ENSMUSG00000022426	Josephin domain containing 1(Josd1)	Mus musculus
ENSMUSG00000036225	potassium channel tetramerisation domain containing 1(Kctd1)	Mus musculus
ENSMUSG00000050503	F-box and leucine-rich repeat protein 22(Fbxl22)	Mus musculus
ENSMUSG00000028423	nuclear transcription factor, X-box binding 1(Nfx1)	Mus musculus
ENSMUSG00000029310	nudix (nucleoside diphosphate linked moiety X)-type motif 9(Nudt9)	Mus musculus
ENSMUSG00000031791	transmembrane protein 38A(Tmem38a)	Mus musculus
ENSMUSG00000025157	zinc finger, DHHC domain containing 16(Zdhhc16)	Mus musculus
ENSMUSG00000046822	solute carrier family 39 (zinc transporter), member 3(Slc39a3)	Mus musculus
ENSMUSG00000042608	serine/threonine kinase 40(Stk40)	Mus musculus
ENSMUSG00000039307	hexosaminidase (glycosyl hydrolase family 20, catalytic domain) containing(Hexdc)	Mus musculus
ENSMUSG00000078486	PPARGC1 and ESRR induced regulator, muscle 1(Perm1)	Mus musculus
ENSMUSG00000027346	glycerophosphocholine phosphodiesterase 1(Gpcpd1)	Mus musculus
ENSMUSG00000022707	glucan (1,4-alpha-), branching enzyme 1(Gbe1)	Mus musculus
ENSMUSG00000024451	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3(Arap3)	Mus musculus
ENSMUSG00000031787	katanin p80 (WD40-containing) subunit B 1(Katnb1)	Mus musculus
ENSMUSG00000039253	fructosamine 3 kinase related protein(Fn3krp)	Mus musculus
ENSMUSG00000026676	coiled-coil domain containing 3(Ccdc3)	Mus musculus
ENSMUSG00000024270	solute carrier family 39 (metal ion transporter), member 6(Slc39a6)	Mus musculus
ENSMUSG00000027525	phosphatase and actin regulator 3(Phactr3)	Mus musculus
ENSMUSG00000036362	purinergic receptor P2Y, G-protein coupled 13(P2ry13)	Mus musculus
ENSMUSG00000021280	exocyst complex component 3-like 4(Exoc3l4)	Mus musculus
ENSMUSG00000026755	actin related protein 2/3 complex, subunit 5-like(Arpc5l)	Mus musculus
ENSMUSG00000022031	elongator acetyltransferase complex subunit 3(Elp3)	Mus musculus
ENSMUSG00000017144	Rho family GTPase 3(Rnd3)	Mus musculus
